Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room,Dates,Instructor
BIOLOGY,582,Professional Communication in Biology - Grant Writing,01,"",2,M10.30-12.30,VSCI 140,Jan 10--Apr 29,A Cousins
BIOLOGY,589,Advanced Topics in Biology,01,"",2,W13.10-15,VC ARR,Jan 10--Apr 29,E Roalson
BIOLOGY,600,Special Projects or Independent Study,01,30971,V,ARRGT,ARR ARR,Jan 10--Apr 29,J Padowski
BIOLOGY,700,"Master's Research, Thesis, and/or Examination",01,26058,V,ARRGT,ARR ARR,Jan 10--Apr 29,(multiple)
BIOLOGY,800,"Doctoral Research, Dissertation, and/or Examination",01,26059,V,ARRGT,ARR ARR,Jan 10--Apr 29,(multiple)
CES,151,[HUM] Introduction to Chicano/Latino Studies,01,30167,3,"TU,TH10.35-11.50",VECS 120,Jan 10--Apr 29,T Carrasco
CES,209,[HUM] Hip Hop Around the Globe,02,27262,3,ARRGT,ARR ARR,Jan 10--Apr 29,D Leonard
CES,220,[HUM] Introduction to Multicultural Literature,01,27277,3,"M,W13.30-14.45",VMMC 219,Jan 10--Apr 29,R Tanvir
CES,373,[M] Native American Literature,01,27281,3,M17.45-20.30,VECS 125,Jan 10--Apr 29,J Ankney
CHEM,105,[PSCI] Principles of Chemistry I,01,26149,4,"TU,TH13.30-14.45",VUB 1,Jan 10--Apr 29,D Osborne
CHEM,105,[PSCI] Principles of Chemistry I,01 Lab,26150,0,TU14.55-17.35,VCLS 50,Jan 10--Apr 29,""
CHEM,105,[PSCI] Principles of Chemistry I,02 Lab,26257,0,TU17.45-20.25,VCLS 50,Jan 10--Apr 29,""
CHEM,106,Principles of Chemistry II,01,25979,4,"M,W,F10.35-11.25",VUB 1,Jan 10--Apr 29,A Otoikhian
CHEM,106,Principles of Chemistry II,02,25980,4,"M,W,F13.30-14.20",VUB 1,Jan 10--Apr 29,A Otoikhian
CHEM,106,Principles of Chemistry II,01 Lab,25981,0,W14.55-17.35,VCLS 50,Jan 10--Apr 29,""
CHEM,106,Principles of Chemistry II,02 Lab,25982,0,TH10.35-13.15,VCLS 50,Jan 10--Apr 29,""
CHEM,106,Principles of Chemistry II,05 Lab,25985,0,F7.45-10.25,VCLS 50,Jan 10--Apr 29,""
CHEM,106,Principles of Chemistry II,06 Lab,30071,0,F12.05-14.45,VCLS 50,Jan 10--Apr 29,""
CHEM,191,Independent Study in Modern Chemistry,01,26111,1,TH16.20-17.10,VSCI 19,Jan 10--Apr 29,S Robb-Chavez
CHEM,348,Organic Chemistry II and Problem Solving,01,26021,4,"TU,TH12.05-13.20",VMMC 217,Jan 10--Apr 29,E Valente
CHEM,348,Organic Chemistry II and Problem Solving,01 Lab,26022,0,TU14.55-16.35,VMMC 23,Jan 10--Apr 29,E Valente
CHINESE,121,[HUM] Modern Chinese Culture,01,26119,3,"TU,TH13.30-14.45",WEB ARR,Jan 10--Apr 29,W Zheng
COM,101,[SSCI] Media and Society,01,26707,3,ARRGT,ARR ARR,Jan 10--Apr 29,R Taflinger
COM,102,[COMM] Public Speaking in the Digital Age,01,26366,3,M10.35-11.50,VLIB 265,Jan 10--Apr 29,E Candello
COM,102,[COMM] Public Speaking in the Digital Age,02,26367,3,"M,W12.05-13.20",VUB 222,Jan 10--Apr 29,S Swenson
COM,102,[COMM] Public Speaking in the Digital Age,03,31224,3,M13.30-14.45,VMMC 23,Jan 10--Apr 29,E Candello
COM,105,[HUM] Communication in Global Contexts,01,"",3,"M,W9.10-10.25",VLIB 261,Jan 10--Apr 29,M Levan
COM,210,[COMM] Multimedia Content Creation,01,26648,3,F13.30-14.20,VLIB 265,Jan 10--Apr 29,N Iyer
COM,300,[M] Writing in Communication,03,"",3,ARRGT,ARR ARR,Jan 10--Apr 29,W Raney
COM,309,Quantitative Research Methods,01,26480,3,"M,W14.55-16.10",VMMC 214,Jan 10--Apr 29,S Swenson
COM,464,Gender and the Media,01,"",3,ARRGT,ARR ARR,Jan 10--Apr 29,T Gillig
COM,471,[CAPS] Stereotypes in Communication,01,26495,3,"M,W12.05-13.20",VLIB 265,Jan 10--Apr 29,M Levan
COM,475,Communication Seminar,02,"",3,ARRGT,ARR ARR,Jan 10--Apr 29,M Marcelo
COM,479,Youth and the Media,01,"",3,ARRGT,ARR ARR,Jan 10--Apr 29,H Seo
COM,497,Practicum in Communication,05,"",V,"TU,TH14.55-16.10",VC ARR,Jan 10--Apr 29,C Thomas
COM,499,Special Problems,01,"",V,ARRGT,ARR ARR,Jan 10--Apr 29,N Iyer
COMHLTH,573,Communicating Health in a Digital Landscape,02,27047,3,ARRGT,ARR ARR,Jan 10--Apr 29,C Thomas
COMJOUR,333,[M] Reporting Across Platforms,01,26473,3,"M,W10.35-11.50",WEB ARR,Jan 10--Apr 29,L Reed
COMSTRAT,310,Digital Content Promotion,01,26479,3,"TU,TH10.35-11.50",VUB 222,Jan 10--Apr 29,N Iyer
COMSTRAT,476,Consumer Insights and Branding,01,26468,3,"TU,TH14.55-16.10",VMMC 219,Jan 10--Apr 29,C Welch
COMSTRAT,485,[M] Public Relations Management and Campaigns,01,27244,3,"TU,TH12.05-13.20",VUB 124,Jan 10--Apr 29,C Welch
COMSTRAT,495,Strategic Communication Professional Internship,01,"",V,ARRGT,ARR ARR,Jan 10--Apr 29,N Iyer
CRM_J,205,[DIVR] Realizing Justice in a Multicultural Society,01,26173,3,"M,W13.30-14.45",VLIB 265,Jan 10--Apr 29,K Dubois
CRM_J,330,Crime Control Policies,01,30084,3,"TU,TH9.10-10.25",VMMC 1,Jan 10--Apr 29,L Collins-Levy
CRM_J,420,[M] Criminal Procedure,01,26176,3,"TU,TH10.35-11.50",VMMC 214,Jan 10--Apr 29,L Collins-Levy
CRM_J,468,Addictive Behavior Among Diverse Populations,01,26640,3,"W,F13.30-14.45",VMMC 22,Jan 10--Apr 29,A Blume
CRM_J,522,Foundations of Quantitative Methods,01,30588,4,TH15-17.50,VC ARR,Jan 10--Apr 29,K Dubois
CRM_J,522,Foundations of Quantitative Methods,"","","",M12.10-13,VC ARR,"",""
CS,122,Data Structures,01,26397,4,"M,W14.55-16.10",VECS 104,Jan 10--Apr 29,S Wallace
CS,122,Data Structures,01 Lab,26398,0,M12.05-14.35,VECS 325,Jan 10--Apr 29,S Wallace
CS,122,Data Structures,02 Lab,26399,0,TU13.30-16,VECS 325,Jan 10--Apr 29,S Wallace
CS,122,Data Structures,03 Lab,26400,0,W12.05-14.35,VECS 325,Jan 10--Apr 29,S Wallace
CS,166,Discrete Mathematics,01,26481,3,"TU,TH12.05-13.20",WEB ARR,Jan 10--Apr 29,M Bozorgi
CS,215,Data Analytics Systems and Algorithms,02,"",3,"M,W,F11.10-12",VECS 209,Jan 10--Apr 29,S Badri
CS,224,Programming Tools,01,26401,3,"M,W10.35-11.50",VSCI 255,Jan 10--Apr 29,P Bonamy
CS,251,C Programming for Engineers,01,26402,4,"TU,TH16.20-17.35",VECS 104,Jan 10--Apr 29,B Hedden
CS,251,C Programming for Engineers,01 Lab,26403,0,M17.45-20.15,VSCI 255,Jan 10--Apr 29,B Hedden
CS,261,C and Assembly Language Programming,01,26404,3,"W,F14.55-16.10",VSCI 12,Jan 10--Apr 29,P Bonamy
CS,320,[M] Fundamentals of Software Engineering,01,29944,3,"TU,TH12.05-13.20",VUB 1,Jan 10--Apr 29,G Williams
CS,351,Introduction to Database Systems,01,26449,3,"TU,TH16.20-17.35",VUB 1,Jan 10--Apr 29,B Mccamish
CS,355,Programming Language Design,01,26405,3,"TU,TH13.30-14.45",WEB ARR,Jan 10--Apr 29,M Bozorgi
CS,402,[M] Social and Professional Issues in Computer Science,01,26409,3,"M,W,F9.10-10",VUB 1,Jan 10--Apr 29,B Mccamish
